1772555164372,-1.8656816,2.5725696,8.377911
1772555164378,-1.9285295,2.5761611,8.322844
1772555164381,-1.9722236,2.6168625,8.294712
1772555164386,-2.0033484,2.653374,8.265982
1772555164391,-2.0093338,2.7012582,8.2593975
1772555164396,-2.0057425,2.7275944,8.315661
1772555164401,-2.0153193,2.746748,8.389881
1772555164406,-2.0272903,2.7659016,8.497022
1772555164411,-2.0374656,2.7850552,8.605958
1772555164416,-2.0308816,2.8078,8.695142
1772555164421,-2.0147207,2.7928362,8.747216
1772555164425,-1.9835961,2.7964275,8.817246
1772555164431,-1.9452889,2.7760768,8.889072
1772555164435,-1.9111716,2.7766755,8.971672
1772555164442,-1.8914193,2.7401638,9.04709
1772555164445,-1.8740613,2.7150247,9.19553
1772555164450,-1.8662802,2.630629,9.31943
1772555164455,-1.8788497,2.5797524,9.467272
1772555164460,-1.887828,2.5157075,9.533113
1772555164465,-1.946486,2.4420857,9.605537
1772555164471,-1.9788077,2.3624785,9.589975
1772555164475,-2.0015526,2.3391352,9.57561
1772555164480,-2.0231004,2.2762873,9.523536
1772555164485,-2.0290859,2.2224178,9.442732
1772555164491,-2.0691888,2.1823149,9.424176
1772555164495,-2.100912,2.1410148,9.39365
1772555164500,-2.1146786,2.094328,9.359533
1772555164505,-2.0907366,2.0811598,9.334992
1772555164510,-2.0751743,2.0775685,9.242217
1772555164515,-2.0500352,2.0763714,9.157223
1772555164520,-2.0386627,2.1045034,9.051279
1772555164524,-1.9979613,2.1266496,8.92319
1772555164529,-1.9734207,2.1619642,8.854955
1772555164534,-1.9375077,2.1763294,8.747216
1772555164539,-1.9123687,2.2092497,8.702325
1772555164544,-1.8860323,2.2176294,8.698733
1772555164549,-1.8848352,2.2379801,8.697536
1772555164554,-1.8770541,2.2589293,8.6496525
1772555164559,-1.8267759,2.2691047,8.574235
1772555164564,-1.7944542,2.2774844,8.534731
1772555164569,-1.7896658,2.303222,8.508993
1772555164573,-1.745373,2.309806,8.46051
1772555164579,-1.7076644,2.3391352,8.403648
1772555164584,-1.7052702,2.3361423,8.418014
1772555164589,-1.6843209,2.3331497,8.369531
1772555164594,-1.6525977,2.348712,8.395268
1772555164599,-1.6184803,2.348712,8.357559
1772555164603,-1.6124948,2.3451207,8.371326
1772555164608,-1.6017209,2.3349452,8.365341
1772555164613,-1.5999253,2.3301568,8.362348
1772555164626,-1.6220716,2.3139958,8.4587145
1772555164626,-1.6496049,2.3002293,8.513183
1772555164629,-1.6280571,2.2876596,8.54311
1772555164633,-1.62686,2.280477,8.567651
1772555164638,-1.6262615,2.2625206,8.605958
1772555164643,-1.5825673,2.2427685,8.613739
1772555164649,-1.5466543,2.2188265,8.652046
1772555164653,-1.5089456,2.2110453,8.671799
1772555164658,-1.4335283,2.1990743,8.692149
1772555164663,-1.417966,2.2080526,8.72507
1772555164668,-1.401805,2.2026656,8.738836
1772555164675,-1.4131776,2.1823149,8.766968
1772555164678,-1.42455,2.166154,8.780136
1772555164683,-1.4305356,2.168548,8.777742
1772555164688,-1.4556746,2.1535845,8.783129
1772555164692,-1.4449008,2.1529858,8.737639
1772555164698,-1.4323312,2.144606,8.740632
1772555164703,-1.4281414,2.144606,8.692149
1772555164709,-1.453879,2.1529858,8.6574335
1772555164713,-1.4814123,2.134431,8.635287
1772555164718,-1.5035586,2.1308396,8.622119
1772555164723,-1.5107412,2.1188686,8.617929
1772555164728,-1.5155296,2.12246,8.617929
1772555164733,-1.5047557,2.1146786,8.616134
1772555164738,-1.5095441,2.1206641,8.565855
1772555164742,-1.5388732,2.154183,8.53892
1772555164748,-1.5352819,2.1332338,8.51019
1772555164752,-1.520318,2.1404164,8.519168
1772555164761,-1.536479,2.1458032,8.523358
1772555164763,-1.54845,2.1613655,8.511387
1772555164768,-1.5610195,2.1410148,8.531139
1772555164772,-1.5616181,2.1350293,8.516774
1772555164778,-1.5610195,2.1481974,8.479664
1772555164782,-1.6017209,2.1499932,8.428787
1772555164788,-1.5879543,2.1583729,8.365939
1772555164794,-1.6166847,2.1751323,8.282741
1772555164797,-1.6519991,2.190096,8.208521
1772555164804,-1.6759412,2.1751323,8.162432
1772555164811,-1.6950948,2.166154,8.132504
1772555164812,-1.757344,2.1721394,8.163031
1772555164817,-1.7836803,2.1769278,8.16722
1772555164823,-1.8249803,2.1871033,8.184579
1772555164829,-1.8626889,2.2260091,8.216302
1772555164832,-1.91596,2.2643163,8.22528
1772555164838,-1.9488802,2.2625206,8.256405
1772555164844,-1.9686323,2.292448,8.268375
1772555164846,-1.99437,2.297835,8.3150625
1772555164854,-2.0015526,2.295441,8.3629465
1772555164860,-1.9853917,2.3211784,8.412626
1772555164861,-1.9566613,2.3062148,8.492832
1772555164867,-1.9458874,2.3145945,8.603564
1772555164872,-1.9207484,2.3247697,8.714295
1772555164880,-1.9243397,2.356493,8.822035
1772555164882,-1.9261353,2.3702598,8.868722
1772555164888,-1.9267339,2.3714569,8.863934
1772555164891,-1.9285295,2.381632,8.862138
1772555164896,-1.9213469,2.4109612,8.878299
1772555164902,-1.9470845,2.4091654,8.871116
1772555164906,-1.9764135,2.3906105,8.887876
1772555164913,-1.9913772,2.3971944,8.941745
1772555164915,-2.0201077,2.397793,8.982447
1772555164921,-2.047641,2.4247277,8.94773
