1772556200044,1024.3135
1772556200222,1024.31
1772556200404,1024.5681
1772556200580,1024.5493
1772556200759,1024.5413
1772556200939,1024.5977
1772556201121,1024.4946
1772556201293,1024.4875
1772556201471,1024.581
1772556201648,1024.5652
1772556201854,1024.5322
1772556202002,1024.5669
1772556202181,1024.5117
1772556202358,1024.6729
1772556202537,1024.7405
1772556202716,1024.7246
1772556202893,1024.7598
1772556203072,1024.7468
1772556203258,1024.81
1772556203426,1024.8052
1772556203615,1024.8086
1772556203782,1024.8259
1772556204004,1024.8113
1772556204138,1024.8481
1772556204316,1024.8262
1772556204494,1024.8442
1772556204672,1024.7908
1772556204850,1024.8127
1772556205030,1024.8154
1772556205205,1024.7446
1772556205386,1024.8328
1772556205562,1024.845
1772556205739,1024.5735
1772556205931,1024.6267
1772556206094,1024.5884
1772556206274,1024.595
1772556206452,1024.5867
1772556206630,1024.5728
1772556206808,1024.6023
1772556206988,1024.5872
1772556207163,1024.5645
1772556207343,1024.636
1772556207519,1024.678
1772556207695,1024.5686
1772556207874,1024.7251
1772556208052,1024.6633
1772556208230,1024.8562
1772556208413,1024.9204
1772556208588,1024.9827
1772556208767,1024.69
1772556208942,1024.9978
1772556209120,1024.9675
1772556209300,1025.0095
1772556209478,1025.0579
1772556209666,1025.033
1772556209832,1025.0542
1772556210009,1025.083
1772556210187,1025.1357
1772556210366,1025.1042
1772556210546,1025.1692
1772556210719,1025.1619
1772556210899,1025.1565
1772556211080,1025.1897
1772556211255,1025.2466
1772556211434,1025.2712
1772556211611,1025.2551
1772556211788,1025.269
1772556211965,1025.3276
1772556212143,1025.2913
1772556212324,1025.3286
1772556212499,1025.322
1772556212697,1025.1172
1772556212857,1025.3811
1772556213039,1025.3633
1772556213211,1025.4834
1772556213390,1025.4146
1772556213566,1025.4727
1772556213747,1025.4758
1772556213929,1025.3464
1772556214103,1025.492
1772556214280,1025.5623
1772556214458,1025.5942
1772556214636,1025.4844
1772556214810,1025.6455
1772556214989,1025.5408
1772556215167,1025.6582
1772556215348,1025.3582
1772556215528,1025.6594
1772556215703,1025.6172
1772556215883,1025.6499
1772556216059,1025.6194
1772556216237,1025.6731
1772556216416,1025.7029
1772556216595,1025.7798
1772556216771,1025.7563
1772556216948,1025.7227
1772556217127,1025.7671
1772556217304,1025.7639
1772556217483,1025.7808
1772556217660,1025.7949
1772556217838,1025.7546
1772556218017,1025.5337
1772556218194,1025.835
1772556218373,1025.7817
1772556218550,1025.8484
1772556218733,1025.8516
1772556218910,1025.8936
1772556219084,1025.8777
1772556219261,1025.8928
1772556219438,1025.7969
1772556219616,1025.8821
1772556219793,1025.853
1772556219973,1025.9634
1772556220151,1025.8782
1772556220328,1025.883
1772556220508,1025.8894
1772556220686,1025.9336
1772556220861,1025.9263
1772556221041,1025.9519
1772556221217,1026.0332
1772556221397,1025.8728
1772556221578,1025.9648
1772556221751,1025.9475
1772556221929,1025.9858
1772556222107,1025.9541
1772556222285,1026.0374
1772556222463,1026.0024
1772556222640,1025.9639
1772556222822,1025.9753
1772556222998,1025.9819
1772556223177,1025.9749
1772556223354,1025.9287
1772556223536,1025.9922
1772556223712,1025.991
1772556223888,1025.9587
1772556224066,1025.9841
1772556224249,1025.9409
1772556224421,1025.9431
1772556224599,1025.946
1772556224776,1025.9998
